Scenario,Minimum_Time_years,Total_Cost_trillion_USD,Elevator_Effective_Ratio,Elevator_Effective_Capacity,Rocket_Effective_Capacity
Ideal Conditions,86.05851979345955,43.496615490533564,0.4621342512908778,537000.0,625000.0
Mild Disruption,99.23588369554433,45.215808841917244,0.452962191128312,456450.0,551250.0
Moderate Failure,110.20042702665474,47.5648931331359,0.44383221984985194,402750.0,504687.5
Severe Failure,134.39505426200316,51.36976036689849,0.43302086483217417,322200.0,421875.0
