场景,最短时间_年,总成本_万亿美元,电梯有效比例,电梯有效运力,火箭有效运力
理想条件,86.05851979345955,43.496615490533564,0.4621342512908778,537000.0,625000.0
轻度干扰,99.23588369554433,45.215808841917244,0.452962191128312,456450.0,551250.0
中度故障,110.20042702665474,47.5648931331359,0.44383221984985194,402750.0,504687.5
重度故障,134.39505426200316,51.36976036689849,0.43302086483217417,322200.0,421875.0
